Changed database context to 'AUTONOMA'.
TableName,ColumnName
audit_types,audit_area
audit_types,audit_type
audit_types,created_by
audit_types,created_date
audit_types,criteria_min_count
audit_types,criteria_type
audit_types,customer_audit_area
audit_types,description
audit_types,standard
audit_types,updated_by
audit_types,updated_date
audit_types,auditArea
audit_types,criteriaMinCount
audit_types,criteriaType
audit_types,customerAuditArea
bos_modules,module_id
bos_modules,mod_code
bos_modules,mod_name
bos_pages,page_id
bos_pages,enabled
bos_pages,page_code
bos_pages,page_name
bos_pages,mod_id
bos_pages,sub_mod_id
bos_sub_modules,sub_mod_id
bos_sub_modules,sub_mod_code
bos_sub_modules,sub_mod_name
bos_sub_modules,mod_id
bos_user_module,module_id
bos_user_module,user_id
bos_user_module,enabled
bos_user_page_auth,page_id
bos_user_page_auth,user_id
bos_user_page_auth,additional1
bos_user_page_auth,additional2
bos_user_page_auth,approval
bos_user_page_auth,delete_acs
bos_user_page_auth,enable
bos_user_page_auth,export
bos_user_page_auth,manager
bos_user_page_auth,mod_id
bos_user_page_auth,read_acs
bos_user_page_auth,sub_mod_id
bos_user_page_auth,write
bos_user_sub_modules,sub_mod_id
bos_user_sub_modules,user_id
bos_user_sub_modules,enabled
bos_user_sub_modules,mod_id
designation_master,id
designation_master,appear_in_competency
designation_master,budgeted_positions
designation_master,created_by
designation_master,created_date
designation_master,designation_code
designation_master,designation_name
designation_master,display_sl_no
designation_master,experience
designation_master,job_description
designation_master,org_seq_no
designation_master,qualification
designation_master,sub_category_level
designation_master,updated_by
designation_master,updated_date
DesignationMaster,id
DesignationMaster,designationCode
DesignationMaster,designationName
DesignationMaster,subCategoryLevel
DesignationMaster,experience
DesignationMaster,appearInCompetency
DesignationMaster,displaySlNo
DesignationMaster,qualification
DesignationMaster,jobDescription
DesignationMaster,orgSeqNo
DesignationMaster,budgetedPositions
DesignationMaster,createdBy
DesignationMaster,createdDate
DesignationMaster,updatedBy
DesignationMaster,updatedDate
EmployeeMaster,id
EmployeeMaster,employeeId
EmployeeMaster,employeeName
EmployeeMaster,email
EmployeeMaster,phone
EmployeeMaster,department
EmployeeMaster,designation
EmployeeMaster,status
EmployeeMaster,createdBy
EmployeeMaster,createdDate
flyway_schema_history,installed_rank
flyway_schema_history,version
flyway_schema_history,description
flyway_schema_history,type
flyway_schema_history,script
flyway_schema_history,checksum
flyway_schema_history,installed_by
flyway_schema_history,installed_on
flyway_schema_history,execution_time
flyway_schema_history,success
HRM_CATEGORY_MASTER,id
HRM_CATEGORY_MASTER,category_name
HRM_DEPARTMENT_MASTER,id
HRM_DEPARTMENT_MASTER,DEPT_NO
HRM_DEPARTMENT_MASTER,DEPT_NAME
HRM_DEPARTMENT_MASTER,NDA_CERTIFICATE
HRM_DEPARTMENT_MASTER,SEQ_NO
HRM_DEPARTMENT_MASTER,STATUS
HRM_DEPARTMENT_MASTER,CREATED_BY
HRM_DEPARTMENT_MASTER,CREATED_DATE
HRM_DEPARTMENT_MASTER,UPDATED_BY
HRM_DEPARTMENT_MASTER,UPDATED_DATE
hrm_desig_level,row_id
hrm_desig_level,basic
hrm_desig_level,created_by
hrm_desig_level,created_date
hrm_desig_level,da
hrm_desig_level,hra
hrm_desig_level,level
hrm_desig_level,screening_level
hrm_desig_level,updated_by
hrm_desig_level,updated_date
HRM_EMP_ACTIVITY,id
HRM_EMP_ACTIVITY,employee_id
HRM_EMP_ACTIVITY,activity_details
HRM_EMP_ACTIVITY,created_by
HRM_EMP_ACTIVITY,created_date
HRM_EMP_ACTIVITY,updated_by
HRM_EMP_ACTIVITY,updated_date
HRM_EMP_ASSET,id
HRM_EMP_ASSET,employee_id
HRM_EMP_ASSET,asset_id
HRM_EMP_ASSET,asset_name
HRM_EMP_ASSET,value
HRM_EMP_ASSET,issue_date
HRM_EMP_ASSET,comments
HRM_EMP_ASSET,created_by
HRM_EMP_ASSET,created_date
HRM_EMP_ASSET,updated_by
HRM_EMP_ASSET,updated_date
HRM_EMP_CONTACT,id
HRM_EMP_CONTACT,employee_id
HRM_EMP_CONTACT,perm_address1
HRM_EMP_CONTACT,perm_address2
HRM_EMP_CONTACT,perm_city
HRM_EMP_CONTACT,perm_state
HRM_EMP_CONTACT,perm_pin_code
HRM_EMP_CONTACT,perm_phone
HRM_EMP_CONTACT,perm_mobile
HRM_EMP_CONTACT,comm_address1
HRM_EMP_CONTACT,comm_address2
HRM_EMP_CONTACT,comm_city
HRM_EMP_CONTACT,comm_state
HRM_EMP_CONTACT,comm_pin_code
HRM_EMP_CONTACT,comm_phone
HRM_EMP_CONTACT,comm_mobile
HRM_EMP_CONTACT,created_by
HRM_EMP_CONTACT,created_date
HRM_EMP_CONTACT,updated_by
HRM_EMP_CONTACT,updated_date
HRM_EMP_DEPENDENT,id
HRM_EMP_DEPENDENT,employee_id
HRM_EMP_DEPENDENT,relation_name
HRM_EMP_DEPENDENT,relation
HRM_EMP_DEPENDENT,gender
HRM_EMP_DEPENDENT,marital_status
HRM_EMP_DEPENDENT,aadhar_id
HRM_EMP_DEPENDENT,contact_number1
HRM_EMP_DEPENDENT,contact_number2
HRM_EMP_DEPENDENT,contact_address
HRM_EMP_DEPENDENT,created_by
HRM_EMP_DEPENDENT,created_date
HRM_EMP_DEPENDENT,updated_by
HRM_EMP_DEPENDENT,updated_date
HRM_EMP_EDUCATION,id
HRM_EMP_EDUCATION,employee_id
HRM_EMP_EDUCATION,education
HRM_EMP_EDUCATION,institution_name
HRM_EMP_EDUCATION,type
